"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 18 07:44:46 GMT 2022","Thu Aug 18 07:44:53 GMT 2022","7898","","org.too.leadtest.leadTest.SimpleTest","","org.too.leadtest.leadTest.SimpleTest","simpleTest2","Второе задание - тест для google поиска","Test with little using PageObject"
"failed","Thu Aug 18 07:44:22 GMT 2022","Thu Aug 18 07:44:45 GMT 2022","23444","","org.too.leadtest.leadTest.SimpleTest","","org.too.leadtest.leadTest.SimpleTest","simpleTest","Первое задание - Тест для Яндекс почты","Just simple test"
"failed","Thu Aug 18 07:44:54 GMT 2022","Thu Aug 18 07:44:57 GMT 2022","3718","","org.too.leadtest.leadTest.SimpleTest","","org.too.leadtest.leadTest.SimpleTest","restTest","Третье задание - тест апи","Rest test for get request"
